year,stage,h1,h2,h3,h4
2017,10,15893.483870967742,10914.064516129032,855.6129032258065,1047.258064516129
2017,11,31580.2,12038.033333333333,1609.7,1850.7666666666667
2017,12,44610.645161290326,6518.8387096774195,5861.322580645161,4416.580645161291
2018,1,62436.67779737903,13869.707362023226,5402.445367629677,6477.685294859354
2018,2,57436.45452008928,7051.755589076785,6739.173296248571,16868.872558596784
2018,3,59582.34841229839,6513.561972342258,7985.417039441935,24938.042779739353
2018,4,48563.67890625,5883.2308431,5544.370963543,26618.06959635633
2018,5,30864.942288308062,3026.863470262581,2454.2016601570967,14254.412046372903
2018,6,24592.475976565333,4972.793644206334,1726.6086710606667,6202.60358073
2018,7,17723.829542592583,6407.539290890968,1486.0114824845161,3493.386372229032
2018,8,16856.965316282578,4710.800308720645,1333.9043205019354,2279.536424205484
2018,9,16140.318652345333,11470.434472656667,1273.0049397786668,1583.1746663406666
2018,10,25474.951990929352,15629.42615927645,1412.3846789941936,1475.521259922258
2018,11,40228.224283854994,10395.238167318666,3793.806013997,3294.3269571946666
2018,12,45430.25919858871,5792.578699913226,8716.902438257419,9533.7804467
2019,1,41746.29637096774,7316.065776210646,5167.6328125,12171.651997230001
2019,2,45982.373325892855,6602.792471749643,3647.3086286271428,14901.960553852501
2019,3,66045.39616935483,9478.883615801935,6224.051222279677,22437.638986898386
2019,4,52369.521744791666,6649.802685549334,6413.233203126,25661.94589844033
2019,5,38359.84400201613,13958.284085183226,4034.8518617693544,18054.72930317742
2019,6,31080.13815104267,16313.016650392,2365.409505207667,9025.628271485
2019,7,21944.446446575483,7054.953951929032,1867.5114824854838,4417.931191721613
2019,8,16402.49814138258,2854.9921008703227,1623.4633592180644,2502.5411810106452
2019,9,13754.133040365,3282.699959309667,1304.8866333016667,1566.4978393553333
2019,10,13863.983839467097,5363.578755041613,1021.502384308387,1762.360292495484
2019,11,19805.32317708533,9279.088557943332,1294.151804607,2599.117635091333
2019,12,39474.259009577094,4489.19333574742,4706.477791079033,4402.620629095483
2020,1,49123.79523689516,3387.4963457664517,6081.734438004194,9487.888120590967
2020,2,74129.20972521552,2712.4435572134485,11661.795730066897,17246.30812230724
2020,3,70906.99747983871,1847.8800324474194,13629.973821826128,29528.653351815807
2020,4,47532.366015625,1024.4869323723333,11799.27138672,30707.614583335664
